narration_id,narration
S28_Eggs_0000043,put towel fridge
S28_Brownie_0000055,put towel top
S12_Brownie_0000046,put towel:kitchen fridge
S13_Brownie_0000180,put towel:kitchen rubbish
S09_Brownie_0000135,put towel:kitchen sink
S09_Brownie_0000042,put towel:kitchen top
S28_Brownie_0000079,put whisk bowl
S33_Brownie_0000133,put whisk pan
S31_Brownie_0000081,put whisk sink
S31_Eggs_0000044,put whisk spatula top
S29_Brownie_0000084,put whisk top
S07_Brownie_0000093,shake can
S07_Eggs_0000051,shake pan
S07_Brownie_0000075,take bag box
S07_Sandwich_0000002,take bag cupboard
S28_Sandwich_0000003,take bag fridge
S07_Sandwich_0000013,take bag top
S07_Brownie_0000043,take bottle cupboard
S07_Brownie_0000049,take bottle top
S07_Brownie_0000002,take bowl cupboard
S07_Brownie_0000033,take bowl top
S07_Brownie_0000064,take box cupboard
S29_Brownie_0000007,take box fridge
S14_Brownie_0000043,take box sink
S07_Brownie_0000074,take box top
S07_Sandwich_0000011,take bread bag
S35_Sandwich_0000060,take bread board:chopping
S07_Sandwich_0000044,take bread plate
S19_Sandwich_0000024,take bread top
S07_Brownie_0000060,take can cupboard
S07_Brownie_0000090,take can top
S07_Brownie_0000053,take cap top
S13_Eggs_0000038,take cellar:salt cellar:salt cupboard
S16_Eggs_0000077,take cellar:salt cellar:salt top
S07_Eggs_0000025,take cellar:salt cupboard
S07_Eggs_0000030,take cellar:salt top
S07_Sandwich_0000015,take clip top
S07_Brownie_0000004,take cup cupboard
S07_Brownie_0000037,take cup top
S07_Brownie_0000081,take fork bowl
S07_Brownie_0000010,take fork drawer
S14_Brownie_0000092,take fork pan
S13_Eggs_0000169,take fork plate
S07_Eggs_0000074,take fork sink
S07_Brownie_0000020,take fork top
S35_Sandwich_0000038,take jar board:chopping
S41_Sandwich_0000051,take jar cap top
S07_Sandwich_0000026,take jar fridge
S36_Sandwich_0000016,take jar jar fridge
S34_Sandwich_0000044,take jar jar top
S07_Sandwich_0000037,take jar top
S35_Sandwich_0000050,take knife board:chopping
S07_Sandwich_0000020,take knife drawer
S07_Sandwich_0000032,take knife plate
S08_Sandwich_0000043,take knife sink
S08_Sandwich_0000036,take knife top
S07_Brownie_0000085,take pan cupboard
S07_Eggs_0000050,take pan hob
S28_Brownie_0000083,take pan oven
S07_Brownie_0000105,take pan top
S07_Eggs_0000057,take plate cupboard
S35_Sandwich_0000065,take sandwich board:chopping
S07_Brownie_0000069,take scissors drawer
S09_Brownie_0000084,take scissors top
S07_Brownie_0000016,take shell:egg box
S07_Brownie_0000026,take shell:egg top
S08_Eggs_0000058,take spatula drawer
S28_Eggs_0000063,take spatula pan
S13_Eggs_0000142,take spatula plate
S19_Eggs_0000113,take spatula top
S13_Brownie_0000142,take spoon bowl
S13_Brownie_0000115,take spoon drawer
S16_Sandwich_0000064,take spoon plate
S16_Brownie_0000099,take spoon sink
S20_Sandwich_0000053,take spoon top
S28_Brownie_0000052,take towel fridge
S28_Brownie_0000081,take towel top
S09_Brownie_0000039,take towel:kitchen fridge
S09_Brownie_0000131,take towel:kitchen top
S28_Brownie_0000097,take whisk bowl
S28_Brownie_0000075,take whisk drawer
S33_Brownie_0000135,take whisk pan
S40_Brownie_0000092,take whisk sink
S29_Brownie_0000102,take whisk top
S07_Brownie_0000019,transition fridge top
S07_Brownie_0000013,transition top fridge
S07_Eggs_0000080,turn-off hob
S07_Eggs_0000052,turn-on hob
S07_Brownie_0000108,turn-on oven
S09_Brownie_0000132,wash bowl towel:kitchen
S28_Brownie_0000053,wash hand towel
S09_Brownie_0000041,wash hand towel:kitchen
S29_Sandwich_0000038,wash knife towel:kitchen
